Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Bahrain dinar   (BHD)                     ,Bolivar Fuerte   (VEF)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Hungarian forint   (HUF)                     ,Icelandic krona   (ISK)                     ,Indian rupee   (INR)                     ,Indonesian rupiah   (IDR)                     ,Iranian rial   (IRR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Kazakhstani tenge   (KZT)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Libyan dinar   (LYD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,Nepalese rupee   (NPR)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Pakistani rupee   (PKR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Sri Lankan rupee   (LKR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,Tunisian dinar   (TND)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     ,Bolivar Soberano   (VES)                     
03-Jan-22,138.6713,,,5.6303,1.351,,844.69,,21.86,6.5506,0.880669309,74.3115,3.092,,1185.5,0.3025,4.171,,20.589,,8.8078,0.3845,3.987,50.974,4.0424,3.64,,3.75,1.351,15.82355,9.0504,0.9121,,6.7742,3.6725,,1,44.614,,,,,,,,,,,,,,
04-Jan-22,138.9115,1.386770212,,5.677,1.3548,1.2708,851.43,6.3751,21.944,6.5944,0.886603422,74.5717,3.094,115.42,1190.8,0.30265,4.1815,43.5069,20.4742,,8.8783,0.3845,3.963,50.989,4.0468,,,3.75,1.3548,16.0426,9.0956,0.9187,33.311,6.7723,3.6725,0.740987737,1,44.725,,,,,,,,,,,,,,
05-Jan-22,138.856,1.382743363,11.79245283,5.6622,1.3557,1.2717,852.03,6.372,21.739,6.5716,0.883470271,74.484,3.093,116.2,1194.3,0.30265,4.1905,43.4163,20.3977,1.467782181,8.8057,0.3845,3.953,51.246,4.0396,,,3.75,1.3557,15.85395,9.0676,0.9151,33.198,6.7495,3.6725,0.738497895,1,44.731,,,,,,,,,,,,,,
06-Jan-22,138.893,1.393339836,11.76470588,5.7036,1.3584,1.2741,841.63,6.3742,21.679,6.5747,0.883782589,74.4398,3.109,116.04,1198.2,0.30265,4.202,43.4556,20.4588,1.47275405,8.8688,0.3845,3.967,51.108,,,,3.75,1.3584,15.77045,,0.9178,33.372,6.7824,3.6725,0.738716111,1,,,,,,,,,,,,,,,
07-Jan-22,139.3305,1.396258028,11.69590643,5.6747,1.3588,1.2666,838.88,6.3734,21.626,6.5835,0.885112409,74.2939,3.109,115.89,1199.6,,4.2025,43.5147,20.4237,1.482579689,8.8766,,3.948,51.131,4.0279,,,,1.3588,15.62175,9.1235,0.92215,33.6,6.7811,,0.737952919,1,44.515,,,,,,,,,,,,,,
10-Jan-22,139.3173,1.390240512,11.65501166,5.673,1.3556,1.2679,831.59,6.3726,21.525,6.5719,0.88354833,74.163,3.116,,1202.4,0.30255,4.2013,43.5967,20.4453,1.475579165,8.8578,0.3845,3.925,51.249,4.0064,,75.1315,3.75,1.3556,15.7161,9.0935,0.92195,33.693,6.7794,3.6725,0.736187286,1,44.671,,,,,,,,,,,,,,
11-Jan-22,139.4581,1.391594768,11.65501166,5.6345,1.3543,1.2606,831.39,6.3726,21.538,6.5635,0.882145378,73.9319,3.127,115.32,1200,0.30255,4.1928,43.5771,20.3785,1.477104874,8.836,0.3845,,51.347,4.0106,,74.8355,3.75,1.3543,15.63565,9.0741,0.9264,33.509,6.7881,3.6725,0.736160188,1,44.63,,,,,,,,,,,,,,
12-Jan-22,,1.385425326,11.60092807,5.5605,1.3506,1.251,832.6,6.3645,21.47,6.5448,0.879507476,73.9968,3.112,115.33,1195.2,0.3024,4.1825,43.5742,20.366,1.473187979,8.7309,0.3845,3.897,51.174,3.9879,,74.5277,3.75,1.3506,15.4941,9.0389,0.92355,33.382,6.7857,3.6725,0.733433569,1,44.647,,,,,,,,,,,,,,
13-Jan-22,139.3972,1.371553971,11.52073733,5.524,1.3463,1.2484,826.51,6.3605,21.34,6.4912,0.872371979,73.9348,3.117,114.66,1189.9,0.30205,4.1795,43.6018,20.3607,1.459002043,8.6655,,3.895,51.1,3.9463,3.64,74.5686,3.75,1.3463,15.3826,8.9129,0.91205,33.238,6.7796,3.6725,0.72859745,1,44.555,,,,,,,,,,,,,,
14-Jan-22,,1.373060552,11.52073733,5.5343,1.3455,1.2545,821.87,6.346,21.4,6.5007,0.873591334,74.1157,3.111,114,1188.2,,4.1785,43.5676,20.3118,1.457938475,8.7239,,3.879,51.115,3.9597,,75.7668,,1.3455,15.34835,8.9245,0.9114,33.198,6.7634,,0.728703636,1,44.591,,,,,,,,,,,,,,
